day,url,role,expected_sha256,actual_sha256,hash_match,download_ok,parse_ok,rows,duplicate_timestamp_rows,timestamp_unit_source,first_open_utc,last_open_utc,full_day_5m_continuity,error
2023-06-02,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-06-02.zip,EVENT_DAY,e248b573db171612107722d616d01f2f6d243dfb9036c55ca631fa718bc8e6ed,e248b573db171612107722d616d01f2f6d243dfb9036c55ca631fa718bc8e6ed,True,True,True,288,0,milliseconds,2023-06-02T00:00:00+00:00,2023-06-02T23:55:00+00:00,True,
2023-06-03,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-06-03.zip,NEXT_DAY,,bf8333261050b451ab9a5b62b6c0948a7932ecb7fe2dd3ade446d4776d2bdc56,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-06-03T00:00:00+00:00,2023-06-03T23:55:00+00:00,True,
2023-07-04,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-07-04.zip,EVENT_DAY,6f316c086b1233144c8d613fd250192c8e0ca407c6ca881388235c865df6750b,6f316c086b1233144c8d613fd250192c8e0ca407c6ca881388235c865df6750b,True,True,True,288,0,milliseconds,2023-07-04T00:00:00+00:00,2023-07-04T23:55:00+00:00,True,
2023-07-05,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-07-05.zip,NEXT_DAY,,01475f033c5566c2343ed748b9c1f1380c974f7cb8737f74e7102f7dd440a1ff,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-07-05T00:00:00+00:00,2023-07-05T23:55:00+00:00,True,
2023-07-13,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-07-13.zip,EVENT_DAY,d2266ed84981102db3481003ce792de89ee8aae674635e8abfdd1a4a28af887a,d2266ed84981102db3481003ce792de89ee8aae674635e8abfdd1a4a28af887a,True,True,True,288,0,milliseconds,2023-07-13T00:00:00+00:00,2023-07-13T23:55:00+00:00,True,
2023-07-14,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-07-14.zip,NEXT_DAY,,49515b731939f520485f1adff80c48b0e534dc89caf1e99970303e2f9ed21f82,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-07-14T00:00:00+00:00,2023-07-14T23:55:00+00:00,True,
2023-08-01,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-08-01.zip,EVENT_DAY,92ae89876630ec61db9edb1cf008cf5c97b321700ed41a6e65f85cf458bc1e3d,92ae89876630ec61db9edb1cf008cf5c97b321700ed41a6e65f85cf458bc1e3d,True,True,True,288,0,milliseconds,2023-08-01T00:00:00+00:00,2023-08-01T23:55:00+00:00,True,
2023-08-02,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-08-02.zip,NEXT_DAY,,52dab72864df0a5997941b14b06f2b084ac423c9789dd8acdf78db210700a4ab,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-08-02T00:00:00+00:00,2023-08-02T23:55:00+00:00,True,
2023-08-06,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-08-06.zip,EVENT_DAY,4b1ff5d19ab0372faa96f6fbfa490c8c2602a823665c51c87b8485a9da84d34b,4b1ff5d19ab0372faa96f6fbfa490c8c2602a823665c51c87b8485a9da84d34b,True,True,True,288,0,milliseconds,2023-08-06T00:00:00+00:00,2023-08-06T23:55:00+00:00,True,
2023-08-07,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-08-07.zip,EVENT_DAY,0af2c6e8e98c5f7d6757a41c297bf6d529ce5826373ad4e741190dfbea09ec29,0af2c6e8e98c5f7d6757a41c297bf6d529ce5826373ad4e741190dfbea09ec29,True,True,True,288,0,milliseconds,2023-08-07T00:00:00+00:00,2023-08-07T23:55:00+00:00,True,
2023-08-08,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-08-08.zip,EVENT_DAY,c773d7ccc2225d1ae94b0aa39648e568cd3fa240e9c8a521d1502961826c149d,c773d7ccc2225d1ae94b0aa39648e568cd3fa240e9c8a521d1502961826c149d,True,True,True,288,0,milliseconds,2023-08-08T00:00:00+00:00,2023-08-08T23:55:00+00:00,True,
2023-08-09,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-08-09.zip,EVENT_DAY,4f356608e16c6d8b5adbf138bccfc94b36c94e9c09a582479384b6d4fb57b762,4f356608e16c6d8b5adbf138bccfc94b36c94e9c09a582479384b6d4fb57b762,True,True,True,288,0,milliseconds,2023-08-09T00:00:00+00:00,2023-08-09T23:55:00+00:00,True,
2023-08-10,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-08-10.zip,NEXT_DAY,,951b28668e86136ddda0e69c56f455880515f65bd82a7befb6a02fe3f0bf88ba,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-08-10T00:00:00+00:00,2023-08-10T23:55:00+00:00,True,
2023-08-12,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-08-12.zip,EVENT_DAY,16566c4b54640eee5b8988bed30e4f59a0b4d86360a1f0c03a3dc212babdac80,16566c4b54640eee5b8988bed30e4f59a0b4d86360a1f0c03a3dc212babdac80,True,True,True,288,0,milliseconds,2023-08-12T00:00:00+00:00,2023-08-12T23:55:00+00:00,True,
2023-08-13,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-08-13.zip,NEXT_DAY,,4bb23503d899e396a87ac509135fcc9f0f39a9796278465b4034907cfd6d813c,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-08-13T00:00:00+00:00,2023-08-13T23:55:00+00:00,True,
2023-08-22,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-08-22.zip,EVENT_DAY,788731c89a4ab2b8441a91fa701fc5fd4df62d07e69edc44df5a62e8af8e7420,788731c89a4ab2b8441a91fa701fc5fd4df62d07e69edc44df5a62e8af8e7420,True,True,True,288,0,milliseconds,2023-08-22T00:00:00+00:00,2023-08-22T23:55:00+00:00,True,
2023-08-23,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-08-23.zip,NEXT_DAY,,9ea18fae80ee35bf48fb82b1a0e8e6ee4e09769e6276ab4fa9f39eeccfbe2d5b,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-08-23T00:00:00+00:00,2023-08-23T23:55:00+00:00,True,
